job_title,category,experience_level,location,remote,salary_range,skills_required
Backend Developer,IT,Lead,Berlin,Yes,$40k-$60k,"Python, SQL, Java"
Digital Marketing Analyst,Marketing,Entry,Cairo,No,$60k-$100k,"PR, Communication, Strategy"
Backend Developer,IT,Mid,Dubai,Yes,$60k-$100k,"AWS, Docker, Kubernetes"
Therapist,Healthcare,Entry,Toronto,Yes,$40k-$60k,"Patient Care, Nursing"
Frontend Developer,IT,Lead,New York,No,$40k-$60k,"AWS, Docker, Kubernetes"
Professor,Education,Lead,New York,Yes,$70k-$120k,"Academic Research, Writing"
Risk Manager,Finance,Senior,Cairo,Yes,$70k-$120k,"Budgeting, Forecasting"
School Principal,Education,Mid,Toronto,Yes,$40k-$60k,"Special Education, Mentoring"
DevOps Engineer,IT,Lead,London,No,$40k-$60k,"AWS, Docker, Kubernetes"
Radiologist,Healthcare,Mid,Cairo,No,$50k-$80k,"Therapy, Rehabilitation, Counseling"
Medical Lab Technician,Healthcare,Senior,Tokyo,Yes,$70k-$120k,"Lab Testing, Analysis"
School Principal,Education,Entry,Berlin,Yes,$50k-$80k,"Academic Research, Writing"
Social Media Manager,Marketing,Lead,Dubai,No,$40k-$60k,"SEO, Content Writing, Social Media"
Radiologist,Healthcare,Mid,Sydney,No,$60k-$100k,"Lab Testing, Analysis"
Tax Consultant,Finance,Mid,Dubai,Yes,$50k-$80k,"Excel, Accounting, Finance Modeling"
System Administrator,IT,Mid,Sydney,No,$70k-$120k,"Machine Learning, AI, NLP"
Budget Analyst,Finance,Lead,Cairo,Yes,$40k-$60k,"Investment Analysis, Risk Management"
Tax Consultant,Finance,Senior,Tokyo,No,$70k-$120k,"Investment Analysis, Risk Management"
Education Coordinator,Education,Mid,Toronto,No,$60k-$100k,"Academic Research, Writing"
Radiologist,Healthcare,Mid,Sydney,No,$40k-$60k,"Patient Care, Nursing"
Portfolio Manager,Finance,Entry,Dubai,No,$50k-$80k,"Investment Analysis, Risk Management"
Backend Developer,IT,Entry,Toronto,Yes,$50k-$80k,"React, Node.js, DevOps"
Accountant,Finance,Senior,New York,Yes,$50k-$80k,"Budgeting, Forecasting"
Financial Analyst,Finance,Lead,Berlin,No,$40k-$60k,"Investment Analysis, Risk Management"
SEO Specialist,Marketing,Entry,New York,No,$40k-$60k,"Digital Marketing, Ads, Campaigns"
Financial Analyst,Finance,Lead,New York,Yes,$40k-$60k,"Auditing, Compliance"
Special Education Teacher,Education,Senior,Dubai,Yes,$50k-$80k,"Lesson Planning, Advising"
Academic Advisor,Education,Entry,Cairo,Yes,$50k-$80k,"Lesson Planning, Advising"
Portfolio Manager,Finance,Entry,Sydney,Yes,$70k-$120k,"Investment Analysis, Risk Management"
Project Engineer,Engineering,Entry,Tokyo,No,$70k-$120k,"Quality Control, Testing"
Risk Manager,Finance,Lead,Sydney,No,$70k-$120k,"Excel, Accounting, Finance Modeling"
Curriculum Developer,Education,Mid,Sydney,Yes,$70k-$120k,"Special Education, Mentoring"
Process Engineer,Engineering,Senior,Dubai,Yes,$50k-$80k,"Process Optimization, Analysis"
Product Marketer,Marketing,Mid,London,No,$70k-$120k,"SEO, Content Writing, Social Media"
Academic Advisor,Education,Lead,Sydney,No,$60k-$100k,"Teaching, Curriculum Development"
Cloud Architect,IT,Senior,New York,No,$70k-$120k,"Machine Learning, AI, NLP"
Data Scientist,IT,Mid,Berlin,No,$60k-$100k,"AWS, Docker, Kubernetes"
Civil Engineer,Engineering,Lead,Cairo,No,$40k-$60k,"CAD, Design, Project Management"
Portfolio Manager,Finance,Senior,New York,Yes,$40k-$60k,"Investment Analysis, Risk Management"
Risk Manager,Finance,Entry,Tokyo,No,$70k-$120k,"Excel, Accounting, Finance Modeling"
Investment Banker,Finance,Lead,Cairo,No,$40k-$60k,"Budgeting, Forecasting"
Software Developer,IT,Entry,Toronto,No,$50k-$80k,"React, Node.js, DevOps"
Data Scientist,IT,Entry,Sydney,No,$60k-$100k,"Machine Learning, AI, NLP"
Financial Analyst,Finance,Entry,Tokyo,Yes,$50k-$80k,"Budgeting, Forecasting"
Process Engineer,Engineering,Senior,Sydney,No,$60k-$100k,"Construction, Technical Drawing"
Budget Analyst,Finance,Mid,Berlin,Yes,$70k-$120k,"Auditing, Compliance"
Quality Engineer,Engineering,Mid,New York,Yes,$70k-$120k,"Process Optimization, Analysis"
Investment Banker,Finance,Senior,Tokyo,No,$40k-$60k,"Investment Analysis, Risk Management"
Financial Analyst,Finance,Lead,Tokyo,No,$40k-$60k,"Budgeting, Forecasting"
Physics Lecturer,Education,Mid,Berlin,No,$70k-$120k,"Academic Research, Writing"
Design Engineer,Engineering,Mid,Sydney,Yes,$40k-$60k,"Process Optimization, Analysis"
Financial Analyst,Finance,Mid,New York,Yes,$40k-$60k,"Excel, Accounting, Finance Modeling"
Social Media Manager,Marketing,Lead,Cairo,Yes,$60k-$100k,"PR, Communication, Strategy"
Academic Advisor,Education,Lead,Berlin,No,$50k-$80k,"Lesson Planning, Advising"
Pharmacist,Healthcare,Mid,Tokyo,Yes,$60k-$100k,"Patient Care, Nursing"
Product Marketer,Marketing,Mid,Tokyo,No,$70k-$120k,"Brand Management, Analytics"
Physician,Healthcare,Lead,Dubai,No,$50k-$80k,"Patient Care, Nursing"
Math Teacher,Education,Lead,Dubai,Yes,$40k-$60k,"Lesson Planning, Advising"
Pharmacist,Healthcare,Senior,New York,Yes,$50k-$80k,"Lab Testing, Analysis"
PR Coordinator,Marketing,Senior,New York,No,$50k-$80k,"SEO, Content Writing, Social Media"
Backend Developer,IT,Entry,New York,No,$60k-$100k,"Machine Learning, AI, NLP"
Brand Strategist,Marketing,Senior,Tokyo,Yes,$70k-$120k,"Digital Marketing, Ads, Campaigns"
Software Developer,IT,Mid,Cairo,No,$50k-$80k,"Python, SQL, Java"
Physician,Healthcare,Entry,Dubai,No,$60k-$100k,"Medical Knowledge, Diagnosis"
Financial Analyst,Finance,Senior,London,No,$50k-$80k,"Auditing, Compliance"
Content Writer,Marketing,Mid,Sydney,Yes,$60k-$100k,"Digital Marketing, Ads, Campaigns"
Project Engineer,Engineering,Entry,New York,Yes,$50k-$80k,"Construction, Technical Drawing"
Pharmacist,Healthcare,Entry,Sydney,Yes,$60k-$100k,"Patient Care, Nursing"
Budget Analyst,Finance,Entry,Cairo,Yes,$50k-$80k,"Excel, Accounting, Finance Modeling"
Academic Advisor,Education,Entry,Tokyo,Yes,$50k-$80k,"Special Education, Mentoring"
Chemical Engineer,Engineering,Entry,Sydney,Yes,$50k-$80k,"CAD, Design, Project Management"
Auditor,Finance,Senior,New York,No,$40k-$60k,"Investment Analysis, Risk Management"
Marketing Manager,Marketing,Entry,Dubai,No,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Marketing Manager,Marketing,Entry,Berlin,Yes,$40k-$60k,"Brand Management, Analytics"
Budget Analyst,Finance,Senior,Sydney,No,$50k-$80k,"Budgeting, Forecasting"
AI Engineer,IT,Lead,Berlin,Yes,$50k-$80k,"React, Node.js, DevOps"
Auditor,Finance,Mid,Berlin,Yes,$70k-$120k,"Investment Analysis, Risk Management"
Chemical Engineer,Engineering,Entry,Tokyo,No,$60k-$100k,"CAD, Design, Project Management"
Process Engineer,Engineering,Lead,Cairo,No,$70k-$120k,"Process Optimization, Analysis"
Tax Consultant,Finance,Mid,Dubai,Yes,$60k-$100k,"Auditing, Compliance"
Social Media Manager,Marketing,Mid,Berlin,Yes,$60k-$100k,"Brand Management, Analytics"
Tax Consultant,Finance,Mid,Cairo,Yes,$50k-$80k,"Auditing, Compliance"
Special Education Teacher,Education,Senior,Cairo,Yes,$50k-$80k,"Lesson Planning, Advising"
Design Engineer,Engineering,Lead,New York,No,$70k-$120k,"Construction, Technical Drawing"
PR Coordinator,Marketing,Entry,Berlin,No,$50k-$80k,"SEO, Content Writing, Social Media"
Civil Engineer,Engineering,Lead,London,No,$40k-$60k,"Quality Control, Testing"
Surgeon,Healthcare,Mid,Cairo,No,$70k-$120k,"Patient Care, Nursing"
Therapist,Healthcare,Senior,Berlin,No,$70k-$120k,"Lab Testing, Analysis"
Medical Lab Technician,Healthcare,Lead,Berlin,Yes,$40k-$60k,"Therapy, Rehabilitation, Counseling"
System Administrator,IT,Mid,Sydney,Yes,$70k-$120k,"React, Node.js, DevOps"
Project Engineer,Engineering,Entry,Cairo,No,$50k-$80k,"CAD, Design, Project Management"
Investment Banker,Finance,Senior,Sydney,Yes,$70k-$120k,"Investment Analysis, Risk Management"
Radiologist,Healthcare,Entry,New York,Yes,$60k-$100k,"Lab Testing, Analysis"
Software Developer,IT,Senior,Berlin,No,$50k-$80k,"AWS, Docker, Kubernetes"
Physics Lecturer,Education,Entry,Toronto,No,$50k-$80k,"Special Education, Mentoring"
Dentist,Healthcare,Entry,Dubai,Yes,$50k-$80k,"Medical Knowledge, Diagnosis"
Medical Lab Technician,Healthcare,Entry,New York,No,$70k-$120k,"Patient Care, Nursing"
System Administrator,IT,Lead,London,Yes,$50k-$80k,"Machine Learning, AI, NLP"
Physician,Healthcare,Entry,London,Yes,$60k-$100k,"Lab Testing, Analysis"
Backend Developer,IT,Entry,Cairo,Yes,$60k-$100k,"Machine Learning, AI, NLP"
Physics Lecturer,Education,Senior,London,Yes,$50k-$80k,"Teaching, Curriculum Development"
Professor,Education,Senior,Berlin,No,$50k-$80k,"Special Education, Mentoring"
AI Engineer,IT,Senior,Sydney,Yes,$60k-$100k,"AWS, Docker, Kubernetes"
Chemical Engineer,Engineering,Mid,Toronto,No,$60k-$100k,"Quality Control, Testing"
Accountant,Finance,Mid,London,Yes,$40k-$60k,"Auditing, Compliance"
Design Engineer,Engineering,Entry,Berlin,Yes,$70k-$120k,"CAD, Design, Project Management"
Physician,Healthcare,Lead,Sydney,No,$60k-$100k,"Lab Testing, Analysis"
Electrical Engineer,Engineering,Lead,London,No,$40k-$60k,"Process Optimization, Analysis"
SEO Specialist,Marketing,Senior,Toronto,No,$40k-$60k,"SEO, Content Writing, Social Media"
Tax Consultant,Finance,Mid,Berlin,No,$70k-$120k,"Investment Analysis, Risk Management"
Risk Manager,Finance,Mid,Cairo,No,$40k-$60k,"Investment Analysis, Risk Management"
Accountant,Finance,Lead,Tokyo,Yes,$70k-$120k,"Investment Analysis, Risk Management"
PR Coordinator,Marketing,Lead,Dubai,Yes,$50k-$80k,"Brand Management, Analytics"
Physics Lecturer,Education,Senior,London,Yes,$60k-$100k,"Special Education, Mentoring"
Design Engineer,Engineering,Mid,Berlin,Yes,$50k-$80k,"CAD, Design, Project Management"
Math Teacher,Education,Lead,Tokyo,Yes,$60k-$100k,"Academic Research, Writing"
Marketing Manager,Marketing,Mid,Toronto,Yes,$70k-$120k,"PR, Communication, Strategy"
Surgeon,Healthcare,Lead,New York,No,$50k-$80k,"Medical Knowledge, Diagnosis"
Product Marketer,Marketing,Senior,Toronto,No,$60k-$100k,"SEO, Content Writing, Social Media"
Marketing Manager,Marketing,Senior,Toronto,No,$60k-$100k,"Digital Marketing, Ads, Campaigns"
Design Engineer,Engineering,Entry,Tokyo,Yes,$70k-$120k,"Process Optimization, Analysis"
Budget Analyst,Finance,Entry,Sydney,Yes,$40k-$60k,"Budgeting, Forecasting"
Pharmacist,Healthcare,Mid,Cairo,Yes,$40k-$60k,"Patient Care, Nursing"
PR Coordinator,Marketing,Mid,New York,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Project Engineer,Engineering,Entry,Dubai,Yes,$70k-$120k,"Construction, Technical Drawing"
Tax Consultant,Finance,Mid,Sydney,No,$50k-$80k,"Excel, Accounting, Finance Modeling"
Quality Engineer,Engineering,Lead,Toronto,Yes,$50k-$80k,"Construction, Technical Drawing"
System Administrator,IT,Entry,Berlin,No,$40k-$60k,"React, Node.js, DevOps"
Software Developer,IT,Lead,London,Yes,$40k-$60k,"Python, SQL, Java"
AI Engineer,IT,Lead,Dubai,Yes,$50k-$80k,"Python, SQL, Java"
Investment Banker,Finance,Mid,Toronto,No,$50k-$80k,"Auditing, Compliance"
Marketing Manager,Marketing,Mid,Dubai,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Academic Advisor,Education,Lead,Dubai,Yes,$40k-$60k,"Special Education, Mentoring"
Curriculum Developer,Education,Entry,Toronto,No,$70k-$120k,"Special Education, Mentoring"
Surgeon,Healthcare,Lead,New York,No,$40k-$60k,"Lab Testing, Analysis"
System Administrator,IT,Lead,New York,Yes,$70k-$120k,"React, Node.js, DevOps"
Digital Marketing Analyst,Marketing,Senior,New York,Yes,$70k-$120k,"Brand Management, Analytics"
DevOps Engineer,IT,Entry,Tokyo,Yes,$50k-$80k,"React, Node.js, DevOps"
Civil Engineer,Engineering,Senior,London,Yes,$70k-$120k,"CAD, Design, Project Management"
Investment Banker,Finance,Mid,New York,No,$50k-$80k,"Investment Analysis, Risk Management"
Accountant,Finance,Entry,London,No,$70k-$120k,"Excel, Accounting, Finance Modeling"
Content Writer,Marketing,Entry,Berlin,No,$40k-$60k,"PR, Communication, Strategy"
Cloud Architect,IT,Entry,New York,Yes,$70k-$120k,"Python, SQL, Java"
SEO Specialist,Marketing,Senior,London,No,$70k-$120k,"PR, Communication, Strategy"
Education Coordinator,Education,Mid,Cairo,Yes,$70k-$120k,"Teaching, Curriculum Development"
Backend Developer,IT,Senior,Berlin,Yes,$40k-$60k,"React, Node.js, DevOps"
Education Coordinator,Education,Entry,Tokyo,No,$60k-$100k,"Lesson Planning, Advising"
Marketing Manager,Marketing,Lead,Dubai,Yes,$70k-$120k,"Digital Marketing, Ads, Campaigns"
Nurse,Healthcare,Mid,Berlin,Yes,$40k-$60k,"Lab Testing, Analysis"
Professor,Education,Senior,Toronto,No,$70k-$120k,"Lesson Planning, Advising"
Risk Manager,Finance,Entry,Tokyo,No,$70k-$120k,"Budgeting, Forecasting"
Content Writer,Marketing,Senior,Dubai,No,$40k-$60k,"Brand Management, Analytics"
Quality Engineer,Engineering,Entry,Berlin,No,$70k-$120k,"Process Optimization, Analysis"
Data Scientist,IT,Lead,Cairo,Yes,$40k-$60k,"Machine Learning, AI, NLP"
Social Media Manager,Marketing,Entry,London,Yes,$40k-$60k,"Brand Management, Analytics"
Design Engineer,Engineering,Senior,Berlin,No,$50k-$80k,"CAD, Design, Project Management"
AI Engineer,IT,Entry,New York,Yes,$50k-$80k,"Machine Learning, AI, NLP"
Marketing Manager,Marketing,Senior,Dubai,Yes,$60k-$100k,"PR, Communication, Strategy"
Frontend Developer,IT,Entry,Tokyo,No,$50k-$80k,"Machine Learning, AI, NLP"
Radiologist,Healthcare,Mid,Cairo,Yes,$60k-$100k,"Therapy, Rehabilitation, Counseling"
Design Engineer,Engineering,Mid,Berlin,No,$50k-$80k,"CAD, Design, Project Management"
Budget Analyst,Finance,Mid,Dubai,No,$50k-$80k,"Investment Analysis, Risk Management"
Radiologist,Healthcare,Mid,Cairo,Yes,$70k-$120k,"Medical Knowledge, Diagnosis"
Accountant,Finance,Mid,Dubai,Yes,$40k-$60k,"Investment Analysis, Risk Management"
Curriculum Developer,Education,Senior,Toronto,No,$70k-$120k,"Academic Research, Writing"
Frontend Developer,IT,Mid,Tokyo,Yes,$60k-$100k,"AWS, Docker, Kubernetes"
Chemical Engineer,Engineering,Lead,London,No,$40k-$60k,"Process Optimization, Analysis"
Education Coordinator,Education,Mid,New York,No,$40k-$60k,"Lesson Planning, Advising"
Math Teacher,Education,Senior,Tokyo,No,$70k-$120k,"Special Education, Mentoring"
Data Scientist,IT,Entry,Sydney,No,$70k-$120k,"Machine Learning, AI, NLP"
Process Engineer,Engineering,Lead,Toronto,Yes,$50k-$80k,"CAD, Design, Project Management"
Budget Analyst,Finance,Mid,London,No,$70k-$120k,"Auditing, Compliance"
Design Engineer,Engineering,Mid,London,No,$40k-$60k,"CAD, Design, Project Management"
Content Writer,Marketing,Senior,Tokyo,Yes,$70k-$120k,"PR, Communication, Strategy"
Design Engineer,Engineering,Senior,Sydney,Yes,$40k-$60k,"Process Optimization, Analysis"
Civil Engineer,Engineering,Senior,London,Yes,$60k-$100k,"Construction, Technical Drawing"
Special Education Teacher,Education,Mid,Dubai,Yes,$50k-$80k,"Academic Research, Writing"
Cloud Architect,IT,Lead,Dubai,Yes,$50k-$80k,"Machine Learning, AI, NLP"
Physician,Healthcare,Mid,New York,No,$70k-$120k,"Medical Knowledge, Diagnosis"
Data Scientist,IT,Senior,Toronto,No,$60k-$100k,"React, Node.js, DevOps"
Risk Manager,Finance,Mid,Dubai,No,$70k-$120k,"Excel, Accounting, Finance Modeling"
Auditor,Finance,Entry,Cairo,No,$50k-$80k,"Investment Analysis, Risk Management"
DevOps Engineer,IT,Lead,Sydney,No,$70k-$120k,"Machine Learning, AI, NLP"
Professor,Education,Senior,Sydney,No,$40k-$60k,"Special Education, Mentoring"
Education Coordinator,Education,Senior,London,No,$70k-$120k,"Academic Research, Writing"
Risk Manager,Finance,Entry,Dubai,No,$40k-$60k,"Auditing, Compliance"
Dentist,Healthcare,Senior,Dubai,No,$40k-$60k,"Lab Testing, Analysis"
Investment Banker,Finance,Senior,New York,Yes,$70k-$120k,"Auditing, Compliance"
Social Media Manager,Marketing,Lead,London,Yes,$50k-$80k,"Brand Management, Analytics"
School Principal,Education,Senior,Berlin,No,$60k-$100k,"Academic Research, Writing"
Chemical Engineer,Engineering,Mid,Toronto,No,$50k-$80k,"CAD, Design, Project Management"
Dentist,Healthcare,Senior,Toronto,No,$50k-$80k,"Therapy, Rehabilitation, Counseling"
Frontend Developer,IT,Lead,New York,No,$70k-$120k,"Machine Learning, AI, NLP"
Accountant,Finance,Senior,New York,No,$60k-$100k,"Investment Analysis, Risk Management"
Dentist,Healthcare,Senior,Dubai,No,$70k-$120k,"Patient Care, Nursing"
PR Coordinator,Marketing,Mid,Berlin,Yes,$60k-$100k,"PR, Communication, Strategy"
Curriculum Developer,Education,Entry,Toronto,Yes,$60k-$100k,"Lesson Planning, Advising"
Therapist,Healthcare,Lead,Cairo,Yes,$70k-$120k,"Medical Knowledge, Diagnosis"
Civil Engineer,Engineering,Mid,London,Yes,$60k-$100k,"Process Optimization, Analysis"
Dentist,Healthcare,Mid,New York,No,$70k-$120k,"Medical Knowledge, Diagnosis"
Marketing Manager,Marketing,Mid,Toronto,Yes,$70k-$120k,"SEO, Content Writing, Social Media"
Portfolio Manager,Finance,Senior,Sydney,Yes,$40k-$60k,"Excel, Accounting, Finance Modeling"
Math Teacher,Education,Mid,London,Yes,$40k-$60k,"Special Education, Mentoring"
Investment Banker,Finance,Lead,Dubai,Yes,$40k-$60k,"Auditing, Compliance"
Radiologist,Healthcare,Senior,Toronto,No,$70k-$120k,"Patient Care, Nursing"
DevOps Engineer,IT,Lead,New York,Yes,$50k-$80k,"React, Node.js, DevOps"
Nurse,Healthcare,Senior,Sydney,Yes,$50k-$80k,"Patient Care, Nursing"
Project Engineer,Engineering,Mid,Dubai,Yes,$40k-$60k,"Process Optimization, Analysis"
SEO Specialist,Marketing,Entry,Sydney,Yes,$60k-$100k,"Brand Management, Analytics"
Electrical Engineer,Engineering,Mid,Berlin,Yes,$60k-$100k,"CAD, Design, Project Management"
Mechanical Engineer,Engineering,Senior,Toronto,No,$50k-$80k,"Construction, Technical Drawing"
Dentist,Healthcare,Senior,London,No,$70k-$120k,"Therapy, Rehabilitation, Counseling"
Curriculum Developer,Education,Senior,Dubai,No,$60k-$100k,"Academic Research, Writing"
Civil Engineer,Engineering,Mid,Berlin,Yes,$50k-$80k,"Quality Control, Testing"
Content Writer,Marketing,Lead,Sydney,Yes,$70k-$120k,"Brand Management, Analytics"
PR Coordinator,Marketing,Lead,Tokyo,No,$60k-$100k,"PR, Communication, Strategy"
Electrical Engineer,Engineering,Mid,New York,No,$50k-$80k,"Process Optimization, Analysis"
Medical Lab Technician,Healthcare,Senior,New York,Yes,$70k-$120k,"Patient Care, Nursing"
Math Teacher,Education,Entry,Tokyo,Yes,$60k-$100k,"Lesson Planning, Advising"
Budget Analyst,Finance,Senior,New York,No,$50k-$80k,"Investment Analysis, Risk Management"
Accountant,Finance,Senior,New York,No,$60k-$100k,"Excel, Accounting, Finance Modeling"
Academic Advisor,Education,Mid,Toronto,Yes,$70k-$120k,"Academic Research, Writing"
Math Teacher,Education,Senior,London,No,$50k-$80k,"Special Education, Mentoring"
AI Engineer,IT,Mid,New York,Yes,$50k-$80k,"React, Node.js, DevOps"
Medical Lab Technician,Healthcare,Entry,London,No,$70k-$120k,"Medical Knowledge, Diagnosis"
Quality Engineer,Engineering,Entry,Sydney,Yes,$50k-$80k,"Quality Control, Testing"
Surgeon,Healthcare,Lead,Toronto,No,$50k-$80k,"Lab Testing, Analysis"
Math Teacher,Education,Mid,Berlin,No,$40k-$60k,"Lesson Planning, Advising"
Civil Engineer,Engineering,Senior,Tokyo,Yes,$50k-$80k,"Construction, Technical Drawing"
Professor,Education,Entry,Berlin,Yes,$60k-$100k,"Academic Research, Writing"
Frontend Developer,IT,Senior,Dubai,No,$40k-$60k,"AWS, Docker, Kubernetes"
Risk Manager,Finance,Mid,Cairo,No,$60k-$100k,"Budgeting, Forecasting"
Frontend Developer,IT,Senior,Dubai,Yes,$60k-$100k,"Machine Learning, AI, NLP"
Mechanical Engineer,Engineering,Lead,Sydney,No,$40k-$60k,"Process Optimization, Analysis"
Nurse,Healthcare,Lead,Sydney,No,$70k-$120k,"Patient Care, Nursing"
Accountant,Finance,Mid,Dubai,No,$40k-$60k,"Budgeting, Forecasting"
Project Engineer,Engineering,Entry,Cairo,No,$60k-$100k,"Quality Control, Testing"
Professor,Education,Mid,New York,No,$50k-$80k,"Special Education, Mentoring"
Risk Manager,Finance,Lead,Toronto,No,$60k-$100k,"Excel, Accounting, Finance Modeling"
Accountant,Finance,Lead,Dubai,Yes,$40k-$60k,"Excel, Accounting, Finance Modeling"
DevOps Engineer,IT,Entry,Cairo,Yes,$40k-$60k,"AWS, Docker, Kubernetes"
Chemical Engineer,Engineering,Senior,Berlin,No,$40k-$60k,"Construction, Technical Drawing"
Social Media Manager,Marketing,Lead,Sydney,Yes,$40k-$60k,"Digital Marketing, Ads, Campaigns"
Electrical Engineer,Engineering,Mid,Sydney,No,$60k-$100k,"Process Optimization, Analysis"
Chemical Engineer,Engineering,Mid,Berlin,Yes,$60k-$100k,"Process Optimization, Analysis"
Professor,Education,Lead,New York,No,$60k-$100k,"Academic Research, Writing"
Accountant,Finance,Senior,New York,Yes,$50k-$80k,"Budgeting, Forecasting"
Professor,Education,Entry,Dubai,Yes,$60k-$100k,"Academic Research, Writing"
Brand Strategist,Marketing,Entry,Tokyo,No,$40k-$60k,"PR, Communication, Strategy"
