job_title,category,experience_level,location,remote,salary_range,skills_required
Social Media Manager,Marketing,Lead,Berlin,No,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Radiologist,Healthcare,Entry,Dubai,Yes,$60k-$100k,"Medical Knowledge, Diagnosis"
Brand Strategist,Marketing,Entry,London,Yes,$50k-$80k,"PR, Communication, Strategy"
Surgeon,Healthcare,Lead,Tokyo,Yes,$40k-$60k,"Lab Testing, Analysis"
Academic Advisor,Education,Lead,London,No,$40k-$60k,"Academic Research, Writing"
Dentist,Healthcare,Mid,New York,No,$60k-$100k,"Medical Knowledge, Diagnosis"
Mechanical Engineer,Engineering,Mid,Cairo,Yes,$60k-$100k,"Process Optimization, Analysis"
Education Coordinator,Education,Mid,New York,Yes,$50k-$80k,"Teaching, Curriculum Development"
Cloud Architect,IT,Mid,New York,Yes,$70k-$120k,"AWS, Docker, Kubernetes"
Auditor,Finance,Senior,New York,No,$60k-$100k,"Investment Analysis, Risk Management"
Physics Lecturer,Education,Entry,London,No,$40k-$60k,"Academic Research, Writing"
PR Coordinator,Marketing,Senior,New York,Yes,$60k-$100k,"SEO, Content Writing, Social Media"
Cloud Architect,IT,Mid,Dubai,Yes,$50k-$80k,"Python, SQL, Java"
Frontend Developer,IT,Senior,Cairo,Yes,$60k-$100k,"AWS, Docker, Kubernetes"
Physician,Healthcare,Entry,Toronto,Yes,$50k-$80k,"Patient Care, Nursing"
PR Coordinator,Marketing,Mid,Sydney,No,$50k-$80k,"SEO, Content Writing, Social Media"
Software Developer,IT,Senior,Sydney,No,$50k-$80k,"React, Node.js, DevOps"
Medical Lab Technician,Healthcare,Entry,Dubai,Yes,$70k-$120k,"Patient Care, Nursing"
School Principal,Education,Lead,Berlin,No,$60k-$100k,"Teaching, Curriculum Development"
Quality Engineer,Engineering,Lead,Toronto,Yes,$60k-$100k,"Process Optimization, Analysis"
Civil Engineer,Engineering,Mid,Dubai,Yes,$40k-$60k,"Quality Control, Testing"
AI Engineer,IT,Mid,Toronto,Yes,$70k-$120k,"Machine Learning, AI, NLP"
Risk Manager,Finance,Lead,Sydney,Yes,$70k-$120k,"Excel, Accounting, Finance Modeling"
Physics Lecturer,Education,Entry,Sydney,No,$70k-$120k,"Lesson Planning, Advising"
Digital Marketing Analyst,Marketing,Mid,Dubai,No,$60k-$100k,"Digital Marketing, Ads, Campaigns"
Physician,Healthcare,Entry,London,No,$50k-$80k,"Patient Care, Nursing"
Digital Marketing Analyst,Marketing,Entry,Toronto,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Auditor,Finance,Mid,Dubai,No,$40k-$60k,"Excel, Accounting, Finance Modeling"
Portfolio Manager,Finance,Lead,London,No,$50k-$80k,"Excel, Accounting, Finance Modeling"
Project Engineer,Engineering,Mid,Cairo,No,$60k-$100k,"Construction, Technical Drawing"
Physics Lecturer,Education,Mid,Berlin,Yes,$70k-$120k,"Teaching, Curriculum Development"
Electrical Engineer,Engineering,Senior,New York,No,$60k-$100k,"Quality Control, Testing"
Quality Engineer,Engineering,Senior,Dubai,Yes,$70k-$120k,"Process Optimization, Analysis"
Mechanical Engineer,Engineering,Senior,London,Yes,$70k-$120k,"CAD, Design, Project Management"
Physician,Healthcare,Senior,Sydney,Yes,$60k-$100k,"Therapy, Rehabilitation, Counseling"
Budget Analyst,Finance,Senior,Dubai,Yes,$50k-$80k,"Investment Analysis, Risk Management"
Physics Lecturer,Education,Entry,Sydney,No,$50k-$80k,"Academic Research, Writing"
Cloud Architect,IT,Mid,New York,Yes,$50k-$80k,"Python, SQL, Java"
Social Media Manager,Marketing,Senior,Dubai,Yes,$60k-$100k,"SEO, Content Writing, Social Media"
Pharmacist,Healthcare,Lead,Toronto,No,$70k-$120k,"Therapy, Rehabilitation, Counseling"
Content Writer,Marketing,Mid,New York,Yes,$40k-$60k,"Brand Management, Analytics"
Education Coordinator,Education,Lead,Toronto,Yes,$40k-$60k,"Academic Research, Writing"
Physician,Healthcare,Senior,Cairo,Yes,$50k-$80k,"Patient Care, Nursing"
School Principal,Education,Mid,Cairo,No,$60k-$100k,"Academic Research, Writing"
Product Marketer,Marketing,Entry,Tokyo,No,$70k-$120k,"Digital Marketing, Ads, Campaigns"
Math Teacher,Education,Entry,London,Yes,$40k-$60k,"Special Education, Mentoring"
Professor,Education,Entry,London,No,$70k-$120k,"Lesson Planning, Advising"
Budget Analyst,Finance,Entry,Tokyo,Yes,$40k-$60k,"Auditing, Compliance"
Brand Strategist,Marketing,Lead,Cairo,Yes,$70k-$120k,"Brand Management, Analytics"
School Principal,Education,Mid,Sydney,Yes,$40k-$60k,"Academic Research, Writing"
Frontend Developer,IT,Mid,Dubai,No,$60k-$100k,"Machine Learning, AI, NLP"
Financial Analyst,Finance,Lead,Dubai,Yes,$40k-$60k,"Budgeting, Forecasting"
Project Engineer,Engineering,Mid,Cairo,Yes,$60k-$100k,"Quality Control, Testing"
Frontend Developer,IT,Senior,Toronto,No,$50k-$80k,"AWS, Docker, Kubernetes"
Civil Engineer,Engineering,Senior,London,No,$40k-$60k,"Quality Control, Testing"
Academic Advisor,Education,Entry,Cairo,No,$50k-$80k,"Special Education, Mentoring"
Brand Strategist,Marketing,Senior,Sydney,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Dentist,Healthcare,Entry,Dubai,No,$60k-$100k,"Lab Testing, Analysis"
AI Engineer,IT,Mid,Berlin,No,$70k-$120k,"Python, SQL, Java"
Surgeon,Healthcare,Entry,London,Yes,$70k-$120k,"Therapy, Rehabilitation, Counseling"
Academic Advisor,Education,Senior,Dubai,No,$40k-$60k,"Special Education, Mentoring"
Math Teacher,Education,Lead,Sydney,No,$70k-$120k,"Lesson Planning, Advising"
Software Developer,IT,Lead,Dubai,No,$60k-$100k,"AWS, Docker, Kubernetes"
AI Engineer,IT,Lead,Berlin,Yes,$40k-$60k,"AWS, Docker, Kubernetes"
Therapist,Healthcare,Mid,Tokyo,Yes,$70k-$120k,"Therapy, Rehabilitation, Counseling"
Pharmacist,Healthcare,Lead,London,Yes,$40k-$60k,"Therapy, Rehabilitation, Counseling"
Physician,Healthcare,Entry,New York,No,$50k-$80k,"Lab Testing, Analysis"
Professor,Education,Lead,Sydney,No,$50k-$80k,"Teaching, Curriculum Development"
Software Developer,IT,Lead,New York,No,$60k-$100k,"React, Node.js, DevOps"
Software Developer,IT,Lead,Dubai,No,$40k-$60k,"React, Node.js, DevOps"
Special Education Teacher,Education,Senior,Berlin,No,$40k-$60k,"Academic Research, Writing"
Budget Analyst,Finance,Lead,Toronto,Yes,$60k-$100k,"Investment Analysis, Risk Management"
Professor,Education,Mid,Berlin,No,$50k-$80k,"Teaching, Curriculum Development"
DevOps Engineer,IT,Senior,Berlin,No,$70k-$120k,"React, Node.js, DevOps"
Academic Advisor,Education,Mid,London,No,$70k-$120k,"Lesson Planning, Advising"
Marketing Manager,Marketing,Mid,Cairo,No,$60k-$100k,"SEO, Content Writing, Social Media"
Brand Strategist,Marketing,Senior,Tokyo,Yes,$50k-$80k,"SEO, Content Writing, Social Media"
Chemical Engineer,Engineering,Mid,Dubai,Yes,$40k-$60k,"Quality Control, Testing"
Math Teacher,Education,Entry,Berlin,No,$50k-$80k,"Special Education, Mentoring"
Brand Strategist,Marketing,Mid,Tokyo,Yes,$60k-$100k,"PR, Communication, Strategy"
Product Marketer,Marketing,Entry,London,Yes,$50k-$80k,"Brand Management, Analytics"
Financial Analyst,Finance,Lead,Cairo,No,$50k-$80k,"Budgeting, Forecasting"
Special Education Teacher,Education,Entry,Berlin,No,$70k-$120k,"Academic Research, Writing"
Chemical Engineer,Engineering,Lead,Tokyo,No,$50k-$80k,"CAD, Design, Project Management"
Investment Banker,Finance,Entry,London,No,$60k-$100k,"Excel, Accounting, Finance Modeling"
Backend Developer,IT,Entry,Cairo,Yes,$60k-$100k,"Python, SQL, Java"
Design Engineer,Engineering,Lead,Berlin,No,$60k-$100k,"Construction, Technical Drawing"
SEO Specialist,Marketing,Senior,Cairo,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Radiologist,Healthcare,Mid,New York,Yes,$50k-$80k,"Medical Knowledge, Diagnosis"
Auditor,Finance,Entry,New York,No,$40k-$60k,"Excel, Accounting, Finance Modeling"
Tax Consultant,Finance,Entry,Toronto,No,$60k-$100k,"Excel, Accounting, Finance Modeling"
Professor,Education,Entry,Berlin,No,$60k-$100k,"Special Education, Mentoring"
Professor,Education,Senior,Tokyo,No,$50k-$80k,"Special Education, Mentoring"
Process Engineer,Engineering,Senior,Cairo,No,$40k-$60k,"Construction, Technical Drawing"
System Administrator,IT,Mid,Cairo,No,$50k-$80k,"Python, SQL, Java"
Physician,Healthcare,Entry,Tokyo,No,$50k-$80k,"Therapy, Rehabilitation, Counseling"
Math Teacher,Education,Entry,Tokyo,Yes,$50k-$80k,"Special Education, Mentoring"
Project Engineer,Engineering,Senior,Sydney,No,$70k-$120k,"Process Optimization, Analysis"
Investment Banker,Finance,Mid,Berlin,No,$70k-$120k,"Investment Analysis, Risk Management"
Nurse,Healthcare,Senior,Berlin,No,$60k-$100k,"Medical Knowledge, Diagnosis"
Backend Developer,IT,Entry,Sydney,Yes,$50k-$80k,"Python, SQL, Java"
Brand Strategist,Marketing,Senior,Toronto,No,$40k-$60k,"PR, Communication, Strategy"
Accountant,Finance,Entry,Toronto,Yes,$60k-$100k,"Excel, Accounting, Finance Modeling"
Auditor,Finance,Mid,New York,Yes,$50k-$80k,"Investment Analysis, Risk Management"
Civil Engineer,Engineering,Lead,Toronto,Yes,$40k-$60k,"Process Optimization, Analysis"
PR Coordinator,Marketing,Lead,Sydney,Yes,$40k-$60k,"SEO, Content Writing, Social Media"
DevOps Engineer,IT,Mid,Dubai,No,$50k-$80k,"Machine Learning, AI, NLP"
Chemical Engineer,Engineering,Senior,Sydney,Yes,$50k-$80k,"CAD, Design, Project Management"
PR Coordinator,Marketing,Entry,London,No,$70k-$120k,"SEO, Content Writing, Social Media"
Content Writer,Marketing,Lead,Berlin,Yes,$40k-$60k,"PR, Communication, Strategy"
Cloud Architect,IT,Mid,London,Yes,$50k-$80k,"Python, SQL, Java"
Electrical Engineer,Engineering,Senior,Tokyo,No,$70k-$120k,"CAD, Design, Project Management"
Chemical Engineer,Engineering,Mid,Berlin,Yes,$70k-$120k,"CAD, Design, Project Management"
Auditor,Finance,Entry,Tokyo,Yes,$70k-$120k,"Auditing, Compliance"
Backend Developer,IT,Mid,Cairo,Yes,$40k-$60k,"Python, SQL, Java"
PR Coordinator,Marketing,Senior,New York,No,$70k-$120k,"SEO, Content Writing, Social Media"
Professor,Education,Senior,Berlin,Yes,$40k-$60k,"Lesson Planning, Advising"
Digital Marketing Analyst,Marketing,Entry,Cairo,Yes,$60k-$100k,"Digital Marketing, Ads, Campaigns"
Financial Analyst,Finance,Entry,New York,No,$40k-$60k,"Excel, Accounting, Finance Modeling"
Nurse,Healthcare,Entry,Toronto,Yes,$50k-$80k,"Medical Knowledge, Diagnosis"
Product Marketer,Marketing,Lead,Toronto,No,$60k-$100k,"SEO, Content Writing, Social Media"
DevOps Engineer,IT,Mid,Berlin,Yes,$40k-$60k,"Machine Learning, AI, NLP"
Software Developer,IT,Lead,Berlin,Yes,$70k-$120k,"React, Node.js, DevOps"
Financial Analyst,Finance,Mid,Toronto,No,$60k-$100k,"Investment Analysis, Risk Management"
Civil Engineer,Engineering,Mid,New York,Yes,$40k-$60k,"Construction, Technical Drawing"
Auditor,Finance,Mid,Sydney,No,$50k-$80k,"Budgeting, Forecasting"
Investment Banker,Finance,Lead,Dubai,No,$70k-$120k,"Investment Analysis, Risk Management"
Auditor,Finance,Senior,London,Yes,$70k-$120k,"Auditing, Compliance"
Frontend Developer,IT,Senior,Dubai,No,$60k-$100k,"AWS, Docker, Kubernetes"
Quality Engineer,Engineering,Mid,Sydney,No,$40k-$60k,"CAD, Design, Project Management"
Risk Manager,Finance,Lead,Tokyo,Yes,$50k-$80k,"Investment Analysis, Risk Management"
Software Developer,IT,Lead,Berlin,Yes,$40k-$60k,"Machine Learning, AI, NLP"
Medical Lab Technician,Healthcare,Lead,Cairo,Yes,$60k-$100k,"Patient Care, Nursing"
Auditor,Finance,Mid,Dubai,Yes,$60k-$100k,"Investment Analysis, Risk Management"
School Principal,Education,Senior,Cairo,No,$40k-$60k,"Special Education, Mentoring"
Medical Lab Technician,Healthcare,Lead,London,No,$70k-$120k,"Patient Care, Nursing"
Electrical Engineer,Engineering,Entry,Tokyo,No,$60k-$100k,"Quality Control, Testing"
Nurse,Healthcare,Lead,New York,Yes,$60k-$100k,"Medical Knowledge, Diagnosis"
Digital Marketing Analyst,Marketing,Senior,Dubai,No,$50k-$80k,"PR, Communication, Strategy"
Education Coordinator,Education,Lead,London,Yes,$50k-$80k,"Teaching, Curriculum Development"
Content Writer,Marketing,Senior,New York,No,$60k-$100k,"PR, Communication, Strategy"
Design Engineer,Engineering,Lead,London,No,$40k-$60k,"CAD, Design, Project Management"
Auditor,Finance,Mid,Cairo,Yes,$70k-$120k,"Investment Analysis, Risk Management"
Academic Advisor,Education,Mid,Sydney,No,$70k-$120k,"Special Education, Mentoring"
Portfolio Manager,Finance,Entry,Dubai,Yes,$40k-$60k,"Auditing, Compliance"
SEO Specialist,Marketing,Lead,Toronto,Yes,$70k-$120k,"PR, Communication, Strategy"
Physician,Healthcare,Mid,Cairo,No,$70k-$120k,"Patient Care, Nursing"
Radiologist,Healthcare,Senior,London,No,$60k-$100k,"Patient Care, Nursing"
Brand Strategist,Marketing,Mid,Berlin,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Frontend Developer,IT,Lead,Toronto,Yes,$40k-$60k,"AWS, Docker, Kubernetes"
DevOps Engineer,IT,Lead,New York,No,$70k-$120k,"Machine Learning, AI, NLP"
Software Developer,IT,Mid,Cairo,No,$60k-$100k,"AWS, Docker, Kubernetes"
AI Engineer,IT,Lead,Cairo,Yes,$40k-$60k,"React, Node.js, DevOps"
Brand Strategist,Marketing,Senior,Tokyo,Yes,$50k-$80k,"SEO, Content Writing, Social Media"
Digital Marketing Analyst,Marketing,Entry,Tokyo,Yes,$40k-$60k,"PR, Communication, Strategy"
PR Coordinator,Marketing,Lead,Tokyo,No,$40k-$60k,"Brand Management, Analytics"
Physics Lecturer,Education,Mid,London,No,$70k-$120k,"Lesson Planning, Advising"
Process Engineer,Engineering,Lead,Dubai,No,$70k-$120k,"Quality Control, Testing"
System Administrator,IT,Senior,Berlin,No,$40k-$60k,"Python, SQL, Java"
Dentist,Healthcare,Lead,Toronto,Yes,$60k-$100k,"Medical Knowledge, Diagnosis"
Surgeon,Healthcare,Senior,Berlin,Yes,$50k-$80k,"Lab Testing, Analysis"
Content Writer,Marketing,Lead,Cairo,No,$40k-$60k,"PR, Communication, Strategy"
Education Coordinator,Education,Entry,Toronto,Yes,$60k-$100k,"Academic Research, Writing"
Investment Banker,Finance,Senior,Dubai,Yes,$40k-$60k,"Auditing, Compliance"
Cloud Architect,IT,Lead,New York,No,$50k-$80k,"AWS, Docker, Kubernetes"
DevOps Engineer,IT,Senior,Cairo,Yes,$40k-$60k,"Machine Learning, AI, NLP"
Special Education Teacher,Education,Senior,Sydney,No,$70k-$120k,"Academic Research, Writing"
SEO Specialist,Marketing,Senior,Sydney,Yes,$50k-$80k,"Digital Marketing, Ads, Campaigns"
Cloud Architect,IT,Lead,New York,No,$70k-$120k,"Python, SQL, Java"
Medical Lab Technician,Healthcare,Mid,Cairo,No,$70k-$120k,"Medical Knowledge, Diagnosis"
Social Media Manager,Marketing,Mid,Cairo,Yes,$60k-$100k,"Brand Management, Analytics"
Software Developer,IT,Lead,Toronto,Yes,$60k-$100k,"Machine Learning, AI, NLP"
Physics Lecturer,Education,Lead,Dubai,Yes,$40k-$60k,"Teaching, Curriculum Development"
Physician,Healthcare,Lead,Berlin,No,$50k-$80k,"Therapy, Rehabilitation, Counseling"
DevOps Engineer,IT,Entry,Toronto,No,$40k-$60k,"Machine Learning, AI, NLP"
Design Engineer,Engineering,Entry,Toronto,No,$40k-$60k,"Construction, Technical Drawing"
Education Coordinator,Education,Senior,London,No,$50k-$80k,"Lesson Planning, Advising"
Academic Advisor,Education,Senior,Cairo,Yes,$70k-$120k,"Special Education, Mentoring"
School Principal,Education,Lead,New York,Yes,$40k-$60k,"Special Education, Mentoring"
Marketing Manager,Marketing,Lead,Cairo,No,$40k-$60k,"PR, Communication, Strategy"
Civil Engineer,Engineering,Mid,Dubai,No,$40k-$60k,"Process Optimization, Analysis"
Academic Advisor,Education,Lead,Toronto,No,$40k-$60k,"Academic Research, Writing"
Process Engineer,Engineering,Senior,Cairo,No,$70k-$120k,"CAD, Design, Project Management"
Digital Marketing Analyst,Marketing,Senior,London,No,$70k-$120k,"Digital Marketing, Ads, Campaigns"
Radiologist,Healthcare,Senior,Toronto,Yes,$40k-$60k,"Therapy, Rehabilitation, Counseling"
Financial Analyst,Finance,Lead,Dubai,Yes,$40k-$60k,"Investment Analysis, Risk Management"
Project Engineer,Engineering,Mid,Sydney,Yes,$70k-$120k,"Process Optimization, Analysis"
SEO Specialist,Marketing,Entry,Dubai,No,$70k-$120k,"Digital Marketing, Ads, Campaigns"
Investment Banker,Finance,Lead,New York,No,$40k-$60k,"Excel, Accounting, Finance Modeling"
Software Developer,IT,Lead,New York,Yes,$40k-$60k,"Machine Learning, AI, NLP"
Radiologist,Healthcare,Entry,London,Yes,$60k-$100k,"Patient Care, Nursing"
Nurse,Healthcare,Senior,Toronto,No,$60k-$100k,"Therapy, Rehabilitation, Counseling"
Electrical Engineer,Engineering,Senior,London,Yes,$60k-$100k,"CAD, Design, Project Management"
Chemical Engineer,Engineering,Senior,Sydney,No,$50k-$80k,"Construction, Technical Drawing"
Backend Developer,IT,Mid,New York,No,$60k-$100k,"React, Node.js, DevOps"
Academic Advisor,Education,Mid,London,Yes,$50k-$80k,"Academic Research, Writing"
Tax Consultant,Finance,Entry,Cairo,Yes,$60k-$100k,"Auditing, Compliance"
Curriculum Developer,Education,Entry,Sydney,No,$50k-$80k,"Lesson Planning, Advising"
Pharmacist,Healthcare,Mid,Sydney,Yes,$50k-$80k,"Patient Care, Nursing"
Dentist,Healthcare,Entry,Tokyo,No,$50k-$80k,"Lab Testing, Analysis"
Brand Strategist,Marketing,Entry,Toronto,Yes,$70k-$120k,"SEO, Content Writing, Social Media"
Portfolio Manager,Finance,Lead,Toronto,Yes,$50k-$80k,"Auditing, Compliance"
Frontend Developer,IT,Lead,Berlin,No,$40k-$60k,"AWS, Docker, Kubernetes"
Digital Marketing Analyst,Marketing,Entry,Berlin,No,$50k-$80k,"SEO, Content Writing, Social Media"
Accountant,Finance,Lead,Dubai,No,$50k-$80k,"Excel, Accounting, Finance Modeling"
Radiologist,Healthcare,Senior,New York,Yes,$50k-$80k,"Patient Care, Nursing"
Auditor,Finance,Mid,Berlin,No,$60k-$100k,"Budgeting, Forecasting"
Brand Strategist,Marketing,Mid,New York,Yes,$70k-$120k,"Digital Marketing, Ads, Campaigns"
Electrical Engineer,Engineering,Mid,Toronto,Yes,$60k-$100k,"Process Optimization, Analysis"
Physics Lecturer,Education,Entry,Toronto,Yes,$70k-$120k,"Special Education, Mentoring"
Tax Consultant,Finance,Senior,London,No,$70k-$120k,"Auditing, Compliance"
SEO Specialist,Marketing,Senior,Dubai,Yes,$60k-$100k,"Brand Management, Analytics"
Portfolio Manager,Finance,Entry,Toronto,Yes,$70k-$120k,"Auditing, Compliance"
Social Media Manager,Marketing,Lead,London,Yes,$50k-$80k,"Brand Management, Analytics"
Pharmacist,Healthcare,Mid,London,Yes,$40k-$60k,"Therapy, Rehabilitation, Counseling"
Backend Developer,IT,Senior,Berlin,Yes,$60k-$100k,"React, Node.js, DevOps"
Accountant,Finance,Lead,Tokyo,Yes,$50k-$80k,"Budgeting, Forecasting"
Chemical Engineer,Engineering,Entry,Cairo,No,$40k-$60k,"Quality Control, Testing"
Therapist,Healthcare,Lead,London,Yes,$40k-$60k,"Therapy, Rehabilitation, Counseling"
Design Engineer,Engineering,Entry,Sydney,Yes,$50k-$80k,"Quality Control, Testing"
Design Engineer,Engineering,Mid,New York,Yes,$60k-$100k,"CAD, Design, Project Management"
Electrical Engineer,Engineering,Senior,Toronto,No,$40k-$60k,"CAD, Design, Project Management"
Financial Analyst,Finance,Senior,Toronto,Yes,$70k-$120k,"Excel, Accounting, Finance Modeling"
Radiologist,Healthcare,Senior,London,No,$60k-$100k,"Patient Care, Nursing"
Brand Strategist,Marketing,Entry,Toronto,Yes,$60k-$100k,"SEO, Content Writing, Social Media"
Pharmacist,Healthcare,Senior,Cairo,Yes,$50k-$80k,"Therapy, Rehabilitation, Counseling"
Nurse,Healthcare,Senior,London,No,$60k-$100k,"Therapy, Rehabilitation, Counseling"
Risk Manager,Finance,Entry,Cairo,Yes,$50k-$80k,"Budgeting, Forecasting"
Professor,Education,Senior,New York,No,$40k-$60k,"Special Education, Mentoring"
Backend Developer,IT,Senior,London,Yes,$50k-$80k,"React, Node.js, DevOps"
Investment Banker,Finance,Senior,Tokyo,Yes,$50k-$80k,"Budgeting, Forecasting"
Backend Developer,IT,Entry,New York,Yes,$40k-$60k,"Machine Learning, AI, NLP"
Dentist,Healthcare,Mid,Sydney,No,$50k-$80k,"Medical Knowledge, Diagnosis"
Dentist,Healthcare,Mid,Toronto,No,$60k-$100k,"Lab Testing, Analysis"
Dentist,Healthcare,Mid,Cairo,No,$40k-$60k,"Medical Knowledge, Diagnosis"
Accountant,Finance,Entry,Berlin,Yes,$70k-$120k,"Excel, Accounting, Finance Modeling"
Radiologist,Healthcare,Mid,Tokyo,Yes,$60k-$100k,"Lab Testing, Analysis"
Portfolio Manager,Finance,Mid,Tokyo,Yes,$50k-$80k,"Excel, Accounting, Finance Modeling"
Budget Analyst,Finance,Lead,Berlin,Yes,$50k-$80k,"Budgeting, Forecasting"
Academic Advisor,Education,Senior,Toronto,No,$50k-$80k,"Academic Research, Writing"
Data Scientist,IT,Entry,Tokyo,No,$40k-$60k,"Machine Learning, AI, NLP"
Backend Developer,IT,Lead,London,No,$70k-$120k,"Python, SQL, Java"
Dentist,Healthcare,Senior,New York,Yes,$70k-$120k,"Therapy, Rehabilitation, Counseling"
Financial Analyst,Finance,Lead,London,No,$40k-$60k,"Investment Analysis, Risk Management"
Dentist,Healthcare,Mid,Toronto,Yes,$60k-$100k,"Lab Testing, Analysis"
Software Developer,IT,Mid,New York,Yes,$40k-$60k,"Python, SQL, Java"
Therapist,Healthcare,Mid,New York,No,$50k-$80k,"Patient Care, Nursing"
Investment Banker,Finance,Senior,London,No,$50k-$80k,"Excel, Accounting, Finance Modeling"
Risk Manager,Finance,Lead,Sydney,Yes,$50k-$80k,"Budgeting, Forecasting"
Physician,Healthcare,Lead,Tokyo,Yes,$50k-$80k,"Lab Testing, Analysis"
Chemical Engineer,Engineering,Entry,Dubai,Yes,$50k-$80k,"Construction, Technical Drawing"
